parameters,FITNESS,bps,mps,caf,sbw,avgdistance_all,avgdistance_poi,watchdog_hitrate,count_packets_rec,count_poi_rec,count_cc_rec,count_cc_ignored_in_silence,count_cc_pointer_rec,count_data_ignored_in_silence,count_data_ignored_in_timeoput,count_data_ecc_matches,count_watchdog_ecc_matches,secret_bits_count,timestamp_start,timestamp_stop,duration_seconds,source_ip,comment
broadcast_bpf:ISD:3b:2r:2m:none,122.4125,122.4125,40.8042,1.5,0.779220779,3.85,3.85,1,385,385,102,0,100,0,0,100,100,300,1741031841,3/3/2025 20:57,2.450731039,127.0.0.1,Version 3.2
broadcast_bpf:ISD:3b:2r:2m:none,115.7335,115.7335,38.5778,1.5,0.746268657,4.02,4.02,1,402,402,102,0,100,0,0,100,100,300,1741031829,3/3/2025 20:57,2.592162132,127.0.0.1,Version 3.2
broadcast_bpf:ISD:3b:2r:2m:none,113.8253,113.8253,37.9418,1.5,0.763358779,3.93,3.93,1,393,393,102,0,100,0,0,100,100,300,1741031835,3/3/2025 20:57,2.635617018,127.0.0.1,Version 3.2
broadcast_bpf:ISD:3b:2r:2m:none,112.379,112.379,37.4597,1.5,0.583657588,5.14,5.14,1,514,514,102,0,100,0,0,100,100,300,1741031664,3/3/2025 20:54,2.669537067,127.0.0.1,Version 3.2
broadcast_bpf:ISD:3b:2r:2m:none,107.9806,107.9806,35.9935,1.5,0.759493671,3.95,3.95,1,395,395,102,0,100,0,0,100,100,300,1741031847,3/3/2025 20:57,2.778278112,127.0.0.1,Version 3.2
broadcast_bpf:ISD:4b:2r:3m:none,107.7129,107.7129,26.9282,1.333333333,0.826446281,4.84,4.84,1,363,363,77,0,75,0,0,75,75,300,1741031681,3/3/2025 20:54,2.785182953,127.0.0.1,Version 3.2
broadcast_bpf:ISD:3b:2r:2m:none,103.1962,103.1962,34.3987,1.5,0.775193798,3.87,3.87,1,387,387,102,0,100,0,0,100,100,300,1741031822,3/3/2025 20:57,2.907084942,127.0.0.1,Version 3.2
broadcast_bpf:ISD:2b:2r:1m:none,90.2624,90.2624,45.1312,2,0.53024911,3.771812081,3.771812081,1,562,562,151,0,149,0,0,149,149,298,1741031643,3/3/2025 20:54,3.301485062,127.0.0.1,Version 3.2
broadcast_bpf:ISPN:3b:2r:2m:none,31.4895975,47.8323,15.9441,1.5,0.365853659,8.2,8.2,0.658333333,984,984,163,38,120,0,0,120,79,237,1740997681,3/3/2025 11:28,4.954809904,127.0.0.1,Version 3.2
broadcast_bpf:ISD:2b:1r:1m:none,17.4251,17.4251,8.7126,2,0.173155142,11.55033557,11.55033557,1,1721,1721,151,0,149,0,0,149,149,298,1741031612,3/3/2025 20:53,17.10172415,127.0.0.1,Version 3.2
broadcast_bpf:ISPN:3b:1r:2m:none,16.48858433,31.1193,10.3731,1.5,0.34212766,8.768656716,8.768656716,0.529850746,1175,1175,199,61,134,0,0,134,71,213,1740997589,3/3/2025 11:26,6.844619036,127.0.0.1,Version 3.2
broadcast_bpf:ISPN:2b:2r:1m:none,15.72799454,25.471,12.7355,2,0.263309353,7.595628415,7.595628415,0.617486339,1390,1390,255,69,183,0,0,183,113,226,1740997369,3/3/2025 11:22,8.872819901,127.0.0.1,Version 3.2
broadcast_bpf:ISD:2b:2r:1m:none,12.93419689,23.55,11.775,2,0.270687237,7.388601036,7.388601036,0.549222798,1426,1426,282,84,193,0,0,193,106,212,1740997329,3/3/2025 11:22,9.002110004,127.0.0.1,Version 3.2
broadcast_bpf:ISPN:2b:1r:1m:none,11.85439175,20.5335,10.2668,2,0.243412798,8.216494845,8.216494845,0.577319588,1594,1594,278,76,194,0,0,194,112,224,1740997291,3/3/2025 11:21,10.90898299,127.0.0.1,Version 3.2
broadcast_bpf:ISD:3b:2r:2m:none,10.84183676,23.4046,7.8015,1.5,0.321766562,9.323529412,9.323529412,0.463235294,1268,1268,211,73,136,0,0,136,63,189,1740997631,3/3/2025 11:27,8.075345993,127.0.0.1,Version 3.2
all:ISPN:2b:0r:0m:none,9.184266,17.0079,8.504,2,0.229226361,8.725,8.725,0.54,1745,1745,294,82,200,0,0,200,108,216,1741022305,3/3/2025 18:18,12.69994712,127.0.0.1,Version 3.2
broadcast_bpf:ISD:2b:2r:0m:inline-hamming+,8.833746465,15.4786,7.7393,2,0.21097496,9.47979798,9.47979798,0.570707071,1877,1877,284,79,198,0,0,198,113,226,1741029959,3/3/2025 20:26,14.60079503,127.0.0.1,Version 3.2
broadcast_bpf:ISPN:2b:0r:0m:none,8.589981818,15.7483,7.8741,2,0.221281101,9.038277512,9.038277512,0.545454545,1889,1889,306,86,209,0,0,209,114,228,1741009676,3/3/2025 14:48,14.47778511,127.0.0.1,Version 3.2
broadcast_bpf:ISPN:2b:0r:0m:inline-hamming+,8.388954634,15.2189,7.6095,2,0.214211076,9.336585366,9.336585366,0.551219512,1914,1914,299,86,205,0,0,205,113,226,1741010427,3/3/2025 15:00,14.84994507,127.0.0.1,Version 3.2
broadcast_bpf:ISD:2b:1r:0m:none,8.3758,8.3758,4.1879,2,0.093799182,21.32214765,21.32214765,1,3177,3177,151,0,149,0,0,149,149,298,1741031435,3/3/2025 20:51,35.57866502,127.0.0.1,Version 3.2
broadcast_bpf:ISPN:2b:2r:0m:none,7.741471154,14.9095,7.4548,2,0.218832194,9.139423077,9.139423077,0.519230769,1901,1901,310,99,208,0,0,208,108,216,1741030571,3/3/2025 20:36,14.48737192,127.0.0.1,Version 3.2
broadcast_bpf:ISD:2b:2r:0m:none,6.903978673,12.8915,6.4457,2,0.19765808,10.11848341,10.11848341,0.535545024,2135,2135,311,93,211,0,0,211,113,226,1741029526,3/3/2025 20:19,17.53096509,127.0.0.1,Version 3.2
broadcast_bpf:ISD:2b:1r:1m:none,6.889745455,9.4734,4.7367,2,0.124410933,16.07575758,16.07575758,0.727272727,3183,3183,254,53,198,0,0,198,144,288,1740997232,3/3/2025 11:21,30.40088201,127.0.0.1,Version 3.2
all:ISPN:2b:0r:0m:inline-hamming+,6.852363902,13.6382,6.8191,2,0.210796915,9.487804878,9.487804878,0.502439024,1945,1945,309,95,205,0,0,205,103,206,1741023077,3/3/2025 18:31,15.10461497,127.0.0.1,Version 3.2
broadcast_bpf:ISPN:3b:1r:1m:none,4.393416168,11.2877,3.7626,3,0.237553343,12.62874251,12.62874251,0.389221557,2109,2109,271,101,167,0,0,167,65,195,1740997565,3/3/2025 11:26,17.27539182,127.0.0.1,Version 3.2
broadcast_bpf:ISD:3b:2r:1m:none,4.11845,11.767,3.9223,3,0.258760108,11.59375,11.59375,0.35,1855,1855,266,101,160,0,0,160,56,168,1740997611,3/3/2025 11:27,14.27723098,127.0.0.1,Version 3.2
broadcast_bpf:ISD:3b:1r:2m:none,3.237456395,5.8615,1.9538,1.5,0.109577405,27.37790698,27.37790698,0.552325581,4709,4709,251,75,172,0,0,172,95,285,1740997503,3/3/2025 11:25,48.62246299,127.0.0.1,Version 3.2
